  9%|████████████▎                                                                                                                         | 923/10000 [04:50<47:40,  3.17it/s]
         19479475 function calls (18666602 primitive calls) in 294.205 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(amax)
       16    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(amin)
       13    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(any)
   142217    0.090    0.000    0.452    0.000 <__array_function__ internals>:177(concatenate)
       18    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(copyto)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(dot)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(empty_like)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(inv)
       12    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(isneginf)
       12    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(isposinf)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(linspace)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(lstsq)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(ndim)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(outer)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(polyfit)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(polyval)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(result_type)
   193914    0.057    0.000    0.622    0.000 <__array_function__ internals>:177(sum)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(vander)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(zeros_like)
        1    0.000    0.000    0.000    0.000 <decorator-gen-0>:1(<module>)
  3142/17    0.006    0.000    2.401    0.141 <frozen importlib._bootstrap>:1002(_find_and_load)
    17/14    0.000    0.000    0.013    0.001 <frozen importlib._bootstrap>:1018(_gcd_import)
 3016/690    0.002    0.000    1.719    0.002 <frozen importlib._bootstrap>:1033(_handle_fromlist)
     7777    0.005    0.000    0.006    0.000 <frozen importlib._bootstrap>:112(release)
     3142    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:152(__init__)
     3142    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:156(__enter__)
     3142    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:160(__exit__)
     7777    0.007    0.000    0.010    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
     3099    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:185(cb)
     4635    0.002    0.000    0.012    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
  3836/21    0.001    0.000    2.392    0.114 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
    26641    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:241(_requires_builtin_wrapper)
     2785    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
